"PERID","Criminal"
"66583679","1"
"35494679","1"
"79424679","1"
"11744679","1"
"31554679","1"
"83164679","1"
"58474679","1"
"40695779","1"
"39315779","1"
"58415779","0"
"23535779","1"
"67275779","1"
"93485779","1"
"29546779","1"
"97556779","1"
"37797779","1"
"36607779","1"
"61727779","0"
"20827779","1"
"52437779","1"
"87267779","1"
"33287779","1"
"30398779","1"
"98598779","1"
"41818779","1"
"69638779","1"
"25748779","1"
"75368779","1"
"99968779","1"
"91578779","0"
"51909779","1"
"69109779","1"
"71529779","1"
"19729779","1"
"85129779","1"
"73849779","1"
"71049779","0"
"47259779","1"
"23890779","0"
"19000779","1"
"89810779","0"
"78720779","1"
"37630779","0"
"51940779","1"
"19760779","1"
"47580779","1"
"14880779","1"
"27391779","1"
"59191779","1"
"22411779","1"
"69331779","1"
"41131779","1"
"18381779","1"
"17002779","1"
"21222779","1"
"92122779","1"
"43542779","1"
"91552779","1"
"38852779","1"
"71362779","1"
"89372779","1"
"41172779","1"
"22882779","1"
"77193779","1"
"92213779","1"
"11313779","1"
"86433779","1"
"71933779","0"
"22353779","1"
"63063779","1"
"62783779","1"
"82304779","1"
"50504779","1"
"39224779","1"
"92924779","1"
"22444779","1"
"61544779","1"
"27374779","1"
"76474779","1"
"93774779","1"
"43335879","1"
"43045879","1"
"67455879","1"
"21675879","1"
"37546879","1"
"59156879","1"
"63566879","1"
"53376879","1"
"49776879","1"
"90297879","1"
"37737879","1"
"47257879","1"
"99057879","1"
"97067879","1"
"31477879","1"
"71287879","1"
"67208879","1"
"71618879","0"
"40338879","1"
"67348879","0"
"44458879","1"
"17588879","1"
"25309879","1"
"54549879","1"
"25069879","1"
"69289879","1"
"91890879","1"
"67000879","1"
"92310879","0"
"61410879","1"
"74920879","1"
"51030879","1"
"77140879","1"
"17570879","1"
"92691879","0"
"17711879","0"
"66621879","1"
"35721879","1"
"71451879","1"
"43061879","1"
"70171879","1"
"93681879","1"
"90262879","1"
"48272879","1"
"38082879","1"
"34293879","1"
"67993879","1"
"23103879","1"
"81113879","1"
"75333879","1"
"20833879","1"
"51253879","1"
"16753879","1"
"35473879","1"
"39694879","1"
"90304879","1"
"59404879","1"
"96704879","1"
"10924879","1"
"72244879","1"
"22054879","1"
"11964879","1"
"99164879","1"
"22674879","1"
"31584879","1"
"58495979","1"
"79105979","1"
"16215979","1"
"43515979","1"
"18825979","1"
"73135979","0"
"85455979","1"
"95265979","1"
"33465979","1"
"24985979","1"
"17206979","1"
"72326979","1"
"81426979","1"
"90526979","1"
"68726979","1"
"11236979","1"
"34266979","1"
"29386979","1"
"31997979","1"
"33507979","1"
"39907979","1"
"11517979","1"
"74027979","0"
"30237979","1"
"11087979","1"
"75208979","1"
"18528979","1"
"37148979","1"
"14258979","1"
"81558979","0"
"25588979","1"
"81988979","1"
"41939979","1"
"19659979","1"
"56579979","1"
"33879979","0"
"13689979","1"
"12590979","1"
"21690979","1"
"39410979","1"
"33150979","1"
"22060979","1"
"77370979","1"
"55570979","1"
"41970979","1"
"19170979","1"
"44480979","1"
"53101979","1"
"77511979","0"
"19931979","1"
"66941979","1"
"71251979","1"
"84761979","1"
"80161979","0"
"87892979","1"
"90442979","1"
"75942979","1"
"14042979","1"
"79352979","1"
"49162979","0"
"73382979","1"
"99782979","1"
